investor_ID,is_person
28805,False
28845,False
28902,False
28916,False
29018,False
29312,False
29481,False
29499,False
29845,False
29929,False
30294,False
30328,False
30395,False
30473,False
30625,False
30636,False
30812,False
30917,False
30961,False
30976,False
30980,False
31106,False
31169,False
31366,False
31480,False
31648,False
31685,False
31830,False
31975,False
32011,False
32014,False
32180,False
32493,False
32681,False
32752,False
32829,False
33095,False
33532,False
33655,False
33683,False
33812,False
33862,False
34091,False
34232,False
34328,False
34432,False
34557,False
34648,False
34757,False
34877,False
34878,False
34959,False
35179,False
35325,False
35481,False
35616,False
35726,False
35752,False
35880,False
35881,False
35901,False
35984,False
36045,False
36089,False
36135,False
36146,False
36177,False
36521,False
36603,False
36635,False
36785,False
36796,False
36822,False
36910,False
37024,False
37146,False
37194,False
37345,False
37346,False
37350,False
37353,False
37500,False
37558,False
37862,False
38219,False
38225,False
38251,False
38379,False
38525,False
38526,False
38594,False
38808,False
39126,False
39219,False
39481,False
39741,False
39855,False
39974,False
39992,False
40312,False
40322,False
40344,False
40479,False
40531,False
40536,False
40543,False
40723,False
40910,False
40933,False
41027,False
41143,False
41307,False
41333,False
41478,False
41538,False
41550,False
41564,False
41889,False
41891,False
41899,False
41911,False
42229,False
42287,False
42296,False
42336,False
42396,False
42438,False
42496,False
42523,False
42538,False
42690,False
42733,False
42822,False
42845,False
42896,False
43225,False
43254,False
43365,False
43458,False
43845,False
44056,False
44076,False
44077,False
44170,False
44198,False
44309,False
44490,False
44740,False
44817,False
44869,False
44938,False
44984,False
45072,False
45076,False
45077,False
45098,False
45186,False
45197,False
45353,False
45625,False
45705,False
45718,False
45791,False
45813,False
46134,False
46182,False
46190,False
46552,False
46585,False
46842,False
47019,False
47085,False
47125,False
47164,False
47172,False
47175,False
47241,False
47622,False
47903,False
48071,False
48221,False
48278,False
48354,False
48380,False
48400,False
48414,False
48466,False
48488,False
48512,False
48736,False
48809,False
48840,False
48934,False
49027,False
49075,False
49137,False
49192,False
49302,False
49363,False
49550,False
49605,False
49640,False
49657,False
49739,False
49855,False
49871,False
49876,False
49940,False
49992,False
50094,False
50349,False
50376,False
50386,False
50387,False
50415,False
50506,False
50803,False
50881,False
50988,False
51029,False
51181,False
51266,False
51295,False
51448,False
51540,False
51570,False
51577,False
51590,False
51609,False
51633,False
51669,False
51711,False
51878,False
51891,False
51909,False
51915,False
51978,False
52033,False
52053,False
52136,False
52322,False
52476,False
52548,False
52560,False
52571,False
52653,False
52702,False
52706,False
52720,False
52731,False
52732,False
52754,False
52782,False
52842,False
53025,False
53127,False
53165,False
53177,False
53370,False
