acquirer_ID,acquired_ID,date,price,currency
3616,56809,2011-10-06,,USD
3616,58218,2014-09-10,,USD
3643,14032,2013-12-19,60000000.0,USD
3657,5463,2010-04-29,,USD
3682,56109,2011-09-07,,USD
3708,56439,2014-07-14,41000000.0,USD
3709,4833,2014-10-01,,USD
3713,9697,2010-05-04,,USD
3713,48061,2010-07-02,,USD
3730,50252,2010-05-24,,USD
3761,49662,2013-01-24,,USD
3761,53315,2011-12-13,,USD
3824,55377,2008-08-06,50100000.0,USD
3862,49755,2009-09-01,,USD
3862,50556,2009-04-21,,USD
3862,50731,2008-03-04,,USD
3862,51165,2013-09-25,,USD
3862,51197,2014-11-06,,USD
3862,51200,2012-12-01,,USD
3862,52915,2007-10-17,,USD
3862,21070,2008-09-23,,USD
3862,53969,2013-07-15,,USD
3862,54134,2014-04-09,,USD
3862,55385,2014-08-26,,USD
3862,55617,2010-06-25,,USD
3862,55643,2008-10-15,,USD
3862,55670,2013-06-17,,USD
3862,37154,2014-04-25,,USD
3862,38437,2013-01-01,,USD
3941,53734,2013-09-25,,USD
3941,56394,2013-05-01,,USD
3950,29198,2010-10-08,,USD
3980,51899,2010-11-10,9400000.0,USD
3980,24513,2014-09-03,220000000.0,USD
3980,55757,2013-05-21,,USD
3980,36720,2009-01-13,,USD
3980,58088,2010-06-10,,USD
3982,50294,1995-04-16,,USD
3987,51754,2009-03-09,,USD
4013,49740,2013-11-04,170000000.0,USD
4032,11323,2011-04-27,,USD
4032,57149,2011-05-09,,USD
4032,57645,2011-11-09,,USD
4032,48860,2011-03-28,,USD
4069,5019,2014-04-02,15000000.0,USD
4085,34467,2008-12-16,,USD
4088,49702,2014-10-02,,USD
4088,50093,2014-02-04,,USD
4098,54678,2012-06-14,,USD
4101,50312,2013-09-26,865000000.0,USD
4157,25044,2009-03-17,,USD
4163,50322,2008-09-30,,USD
4181,56628,2012-07-20,,USD
4216,57361,2014-10-21,,USD
4220,49559,2005-11-07,,USD
